timestamp,endpoint,search_query_or_profile_id,credit_cost,profiles_returned,stage_purpose,useful_yes_no,notes
2026-06-12T07:19:34.533640+00:00,fixture/search,local_predicate(mandate.filter),0,23,production:filter-search,yes,offline fixture search (0 credits)
2026-06-12T07:19:34.533959+00:00,fixture/collect,100000,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533963+00:00,fixture/collect,100001,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533966+00:00,fixture/collect,100002,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533969+00:00,fixture/collect,100003,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533972+00:00,fixture/collect,100004,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533975+00:00,fixture/collect,100005,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533977+00:00,fixture/collect,100006,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533980+00:00,fixture/collect,100007,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533982+00:00,fixture/collect,100008,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533985+00:00,fixture/collect,100009,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533988+00:00,fixture/collect,100010,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533991+00:00,fixture/collect,100011,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533993+00:00,fixture/collect,100013,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533996+00:00,fixture/collect,100015,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.533998+00:00,fixture/collect,100017,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.534001+00:00,fixture/collect,100019,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.534003+00:00,fixture/collect,100021,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.534006+00:00,fixture/collect,100023,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.534009+00:00,fixture/collect,100025,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.534011+00:00,fixture/collect,100038,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.534014+00:00,fixture/collect,100039,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.534017+00:00,fixture/collect,100040,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
2026-06-12T07:19:34.534019+00:00,fixture/collect,100041,0,1,production:enrich-collect,yes,offline fixture collect (0 credits)
